id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
28538,28609,40964,2127,,,,6.038085,1.694053,202.0202,-3.91,-4.8,3,6.58,0.053,B8V,-0.042,-2.013355,201.921893,5.972221,3.8E-06,3.24E-06,-4.61E-06,1.58076695613312,0.02956679537826,-1.89562149097222E-08,-2.3271056E-08,,,Ori,1,28538,,82.9468695095263,,,
28913,28985,41794,,,,,6.116265,-6.202715,69.7837,-9.12,-32.07,0,6.58,2.361,A5,0.228,-2.111328,69.343041,-7.539882,3.12E-06,-1.08E-06,-1.079E-05,1.60123450911868,-0.108257797447786,-4.42150076666667E-08,-1.55479747E-07,,,Mon,1,28913,,9.89919775080584,,,
29472,29545,42784,2207,,,,6.225904,18.680346,181.8182,9.57,-16.25,20,6.58,0.282,B8Vnn,-0.085,-10.180604,171.939088,58.234255,-9.84E-06,2.342E-05,-7.02E-06,1.62993778297086,0.326033542655549,4.63966692291667E-08,-7.8782223E-08,,,Ori,1,29472,,67.1738128547381,,,
29930,30003,43740,,,,,6.315118,23.603282,271.0027,-1.55,-7.07,41.5,6.58,-0.585,G5,0.906,-20.463517,247.486322,108.510043,-1.48E-06,4.263E-05,8.48E-06,1.65329411024714,0.411954988082139,-7.51461204861111E-09,-3.4276327E-08,,10,Gem,1,29930,,149.2794409579,,,
30947,31020,46034,,,,,6.509225,-12.081046,172.7116,12.18,4.08,0,6.58,0.393,K0III,1.081,-22.44844,167.387899,-36.147689,-1.02E-05,-6.5E-07,3.34E-06,1.70411115769018,-0.210854022921517,5.90503062916666E-08,1.9780398E-08,,,CMa,1,30947,,60.6456981510137,,,
31018,31092,46270,,,,,6.52486,-21.405547,82.713,0.86,23.58,0,6.58,1.992,A6V,0.256,-10.548175,76.281653,-30.187509,-8.1E-07,3.37E-06,8.8E-06,1.70820426748223,-0.373597271708181,4.16939765277778E-09,1.14319065E-07,,,CMa,1,31018,,13.9059287546545,,,
31861,31944,47005,,,,,6.675383,61.922525,102.145,-27.14,16.85,0,6.58,1.534,A2,0.156,-8.456275,47.326536,90.123755,1.452E-05,-4.88E-06,3.93E-06,1.74761107368871,1.08075193679717,-1.31578432902778E-07,8.1691105E-08,,41,Cam,1,31861,,21.2031311673985,,,
32836,32923,50138,,,,,6.859277,-6.966512,392.1569,-4.62,4.95,34,6.58,-1.387,B9,0.03,-86.830995,379.453918,-47.564432,6.1E-07,3.672E-05,5.12E-06,1.79575460601407,-0.121588566015076,-2.23983920416667E-08,2.3998277E-08,,,Mon,1,32836,,312.464008580611,,6.633,6.533
32897,32984,50281,,Gl 250A,,,6.871681,-5.173713,8.71,-544.41,-3.3,-9.6,6.58,6.88,K3V,1.071,-1.962415,8.449535,-0.785422,2.461E-05,-4.34E-06,7.5E-07,1.79900185947611,-0.090298327989946,-2.6393741583125E-06,-1.5998851E-08,,,Mon,1,32897,Gl 250,0.154170045294956,,,
33447,33534,51726,,,,,6.969036,-10.315711,204.0816,-7.34,5.56,0,6.58,0.031,K2,1.386,-50.39256,194.356194,-36.545302,6.78E-06,2.78E-06,5.41E-06,1.82448931162841,-0.18004313013815,-3.55853241527778E-08,2.695564E-08,,,Mon,1,33447,,84.64474480977,,,
33777,33864,52993,,,,,7.029781,-35.547919,229.8851,-10.43,7.44,0,6.58,-0.228,Ap Si,-0.154,-49.816949,180.285122,-133.651433,9.92E-06,7.74E-06,6.75E-06,1.84039232854691,-0.620428220386301,-5.05660668819445E-08,3.6070137E-08,,,Pup,1,33777,,107.448411664455,V360,6.626,6.556
33803,33891,52690,,,,,7.035203,-3.754834,588.2353,-1.62,-2.12,0,6.58,-2.268,M1Ib comp SB,1.57,-157.138455,565.547818,-38.521947,4.56E-06,8.6E-07,-6.03E-06,1.84181185627766,-0.065534207932938,-7.853981625E-09,-1.027805E-08,,,Mon,1,33803,,703.396171216247,V926,6.61,6.55
35812,35910,58895,,,,,7.40262,-58.491949,50.8388,-87.79,137.52,19.7,6.58,3.049,G5IV,0.71,-9.538543,24.798151,-43.34362,6.04E-06,4.456E-05,5.4E-07,1.93800141684311,-1.02087708723699,-4.25617930159722E-07,6.66715773E-07,,,Car,1,35812,,5.25291048450048,,,
36088,36189,58686,,,,,7.452532,11.954995,342.4658,-7.47,-4.39,0,6.58,-1.093,K0,0.903,-124.357041,311.104063,70.939498,1.096E-05,6E-06,-7.13E-06,1.95106830711366,0.20865402377095,-3.62155819375E-08,-2.128332E-08,,,CMi,1,36088,,238.341682067315,,,
36268,36371,59152,,,,,7.48648,12.760022,97.8474,-7.92,-18.61,26,6.58,1.627,A5,0.227,-36.20762,88.295607,21.611414,-7.1E-06,2.722E-05,-2.74E-06,1.95995582202412,0.222704389541531,-3.83972435E-08,-9.0223825E-08,,,Gem,1,36268,,19.4625615936124,,,
36286,36389,59227,,,,,7.488563,6.582112,112.7396,-49.09,8.49,0,6.58,1.32,G5,1.003,-42.549192,103.59913,12.923002,2.502E-05,9.7E-06,4.61E-06,1.96050118654344,0.114879518155959,-2.37995035784722E-07,4.1160681E-08,,,CMi,1,36286,,25.822601906346,,,
37568,37675,62753,,,,,7.729976,-40.309325,408.1633,-6.3,1.14,29.6,6.58,-1.474,B3Vne,-0.131,-136.197262,279.869881,-264.046683,4.7E-07,2.752E-05,-1.786E-05,2.02370300474646,-0.703530444639844,-3.0543261875E-08,5.526875E-09,,,Pup,1,37568,,338.532212815354,V387,6.634,6.514
40455,40570,68771,,,,,8.2828,59.189364,173.913,2.66,-12.71,-28.5,6.58,0.378,K0,1.318,-50.12356,73.638371,149.36754,1.37E-06,-6E-06,-3.052E-05,2.16843209484038,1.03304928482659,1.28960439027778E-08,-6.1619818E-08,,,Lyn,1,40455,,61.4893638512626,,,
41220,41336,71253,,,,,8.433628,-10.516583,104.712,-28.19,-2.83,0,6.58,1.48,A2,0.176,-61.245219,82.754794,-19.112045,1.166E-05,8.3E-06,-1.41E-06,2.20791876514646,-0.183549004051986,-1.36668976548611E-07,-1.3720227E-08,,,Hya,1,41220,,22.284351492703,,,
41950,42069,73127,,,,,8.574719,-51.093132,353.3569,-5.07,6.8,7,6.58,-1.161,B5Vn,-0.156,-138.519307,173.391104,-274.971035,-1.68E-06,1.602E-05,1.74E-06,2.24485628292453,-0.891743377535862,-2.45800536041667E-08,3.296733E-08,,,Vel,1,41950,,253.746464586496,,,
42229,42348,73431,,,,,8.633789,-11.743735,124.8439,-20.57,-1.87,0,6.58,1.098,A0,-0.044,-77.759491,94.30689,-25.410065,9.75E-06,7.74E-06,-1.11E-06,2.26032064939598,-0.204966836327631,-9.97261740902778E-08,-9.066015E-09,,,Hya,1,42229,,31.6810815932805,,,
42688,42808,74576,,Gl 320,,,8.721689,-38.882379,11.1408,-301.02,340.76,14.3,6.58,6.345,K2V,0.917,-5.66967,6.562556,-6.993424,-2.69E-06,2.798E-05,5.15E-06,2.28333283337126,-0.678625540552901,-1.45938614120833E-06,1.652051097E-06,,,Vel,1,42688,,0.252348077248057,,,
42981,43100,74738,3474,,48Iot Cnc,,8.777773,28.765059,85.5432,-24.18,-43.99,15,6.58,1.919,G8II...,0.051,-49.851175,56.017476,41.165093,-7.29E-06,2.327E-05,-8.61E-06,2.29801554825546,0.502044980891542,-1.17227947958333E-07,-2.13269538E-07,Iot,48,Cnc,1,42981,,14.8730487004653,,,
44350,44478,77735,,,,,9.0625,-17.4966,212.766,-8.31,-12.73,0,6.58,-0.06,K3III,1.452,-145.816272,141.120834,-63.967928,8.8E-06,3.41E-06,-1.252E-05,2.37255704647985,-0.305373274021834,-4.02880168541667E-08,-6.1716781E-08,,,Hya,1,44350,,92.0449571753172,,,
46141,46273,81524,,,,,9.434392,-1.23494,263.1579,-12.97,-3.66,0,6.58,-0.521,K0,1.417,-205.947051,163.724541,-5.671605,1.038E-05,1.289E-05,-4.67E-06,2.46991794879707,-0.021553767261575,-6.28803343680556E-08,-1.774418E-08,,,Hya,1,46141,,140.734313831835,,,
47563,47698,84257,,,,,9.72517,-20.365839,133.3333,-20.46,-7.58,0,6.58,0.955,G8/K0III,0.91,-103.478895,70.119652,-46.401742,8.83E-06,9.99E-06,-4.59E-06,2.54604343706231,-0.355450943552665,-9.91928790416667E-08,-3.6748876E-08,,,Hya,1,47563,,36.1409862639613,,,
49405,49546,88189,,,,,10.116636,-71.478031,59.8802,-41.05,-23.77,0,6.58,2.694,F5V,0.48,-16.756231,9.003703,-56.778521,1.14E-05,7.4E-06,-2.19E-06,2.64852905260986,-1.24752698535185,-1.99016015868056E-07,-1.15240211E-07,,,Car,1,49405,,7.2845042329233,,,
51758,51907,91858,4155,,,,10.60483,-10.583403,61.5385,22.81,-31.64,-22,6.58,2.634,F0V,0.296,-56.501,21.606769,-11.302532,1.985E-05,-1.488E-05,-5.15E-06,2.7763379866275,-0.18471523120667,1.10586000534722E-07,-1.53395048E-07,,,Sex,1,51758,,7.69839161929435,,,
54191,54349,96557,4324,,,,11.118989,-32.587026,54.7645,-85.37,-44.76,-2,6.58,2.888,F2V,0.363,-44.921199,10.548749,-29.495055,1.309E-05,2.021E-05,-8.91E-06,2.91094450550241,-0.568750892772776,-4.13885439090278E-07,-2.17002603E-07,,,Hya,1,54191,,6.09256259749656,,,
55384,55549,98823,,,,,11.378264,40.175472,99.5025,-65.4,2.58,-11.9,6.58,1.591,F5,0.483,-75.022097,12.320416,64.192045,1.508E-05,2.949E-05,-6.9E-06,2.97882258265371,0.70119426844668,-3.17068147083333E-07,1.2508192E-08,,,UMa,1,55384,,20.1187039514943,,,
